,店名,ジャンル,住所,電話番号,予算目安(下代),予算目安(上代),定休日,営業時間,店のリンク,最寄駅
726,"

トスカーナ 大手町フィナンシャルサウスタワー店（TOSCANA）
            
","
イタリアン、居酒屋、ピザ
","
東京都千代田区大手町1-9-7 大手町フィナンシャルシティ サウスタワー B1F






","

050-5590-7691

","￥4,000","￥4,999","
土日・祝日(ご予約はお電話で！ご予算1８万以上で承ります！)
","

[月～金]11:15~23:00（L.O22:00)途中も閉めずに営業中！内はテイクアウトも行っております。ご来店お待ちしております。
",https://tabelog.com/tokyo/A1302/A130201/13147925/,大手町駅
727,"

KURA 渋谷店

","
パスタ、ダイニングバー、イタリアン
","
東京都渋谷区渋谷1-24-7 渋谷フラットビル　１Ｆ






","

050-5890-0510

","￥1,000","￥1,999","
年末年始のみ
","

月〜金／11:30～22:30（L.O.22:00）土日祝／11:30～22:30（L.O.22:00）　ランチタイムの予約不可
日曜営業
",https://tabelog.com/tokyo/A1303/A130301/13040314/,渋谷駅
728,"

和食日和 おさけと 日本橋室町

","
日本料理、海鮮、居酒屋
","
東京都中央区日本橋本町4-4-16 日本橋内山ビル B1F






","

050-5597-3743

","￥8,000","￥9,999","
日曜・祝日定休
","

■ランチ[月～金]11:30～14:00(L.O13：30)[土曜日]11:30～14:30(L.O13：30)■ディナー[月～木]17:00～22:30(L.O21：30)[金曜日]17:00～23:00(L.O22：00)[土曜日]17:00～22:00(L.O21：00)
",https://tabelog.com/tokyo/A1310/A131002/13234631/,新日本橋駅
729,"

肉寿司 焼き鳥 食べ放題 個室居酒屋 絆 新宿店（KIZUNA【旧店名】いち家）
            
","
居酒屋、鍋、焼き鳥
","
東京都新宿区歌舞伎町1-23-12 第10NKビル 4F






","

050-5434-0257

","￥2,000","￥2,999","
無休
","

ランチ12:00〜15:00ディナー17:00〜24:00
日曜営業
",https://tabelog.com/tokyo/A1304/A130401/13244631/,新宿西口駅
730,"

BLOODY ANGLE Dougen Tong（ブラッディ アングル ドウゲントン）
            
","
カフェ、バー、カレー
","
東京都渋谷区道玄坂2-15-1 ノア道玄坂 B1F






","

050-5589-7276

","￥2,000","￥2,999","
年末年始
","

[lunch/dinner time]11:00～20:00[bar time]20:00～翌3:00
日曜営業
",https://tabelog.com/tokyo/A1303/A130301/13245196/,神泉駅
731,"

炙処 火ノ膳 浅草橋店

","
居酒屋、海鮮、肉料理
","
東京都千代田区東神田3-6-11 






","

050-5456-3226

","￥3,000","￥3,999","
日曜日・祝日 
","

[月～土]11:30～ 15:00 L.Ｏ.14:3017:00～ 23:00 L.Ｏ.22:00（お料理）/22:30（ドリンク）
",https://tabelog.com/tokyo/A1311/A131103/13240115/,浅草橋駅
732,"

佳佳（ヨシヨシ）
            
","
中華料理、四川料理、居酒屋
","
東京都港区赤坂1-1-16 細川ビル　１Ｆ






","

050-5571-4148

","￥4,000","￥4,999","
土曜日
","

【月～木】11:00～15:00、17:00～翌1:00（L.O翌11:15）　【金】　11:00～15:00、17:00～翌4:00（L.O翌1:45）【日・祝】11:00～15:00、17:00～24:00（L.O22:45）
日曜営業
",https://tabelog.com/tokyo/A1308/A130802/13022943/,溜池山王駅
733,"

焼肉 頃場

","
焼肉、ホルモン、居酒屋
","
東京都江戸川区西小岩1-27-5 






","

050-5868-7438

","￥4,000","￥4,999","
不定休
","

(月)〜(日) 17:00〜25:00
日曜営業
",https://tabelog.com/tokyo/A1312/A131204/13244463/,小岩駅
734,"

菊松食堂

","
居酒屋、食堂、日本料理
","
東京都立川市緑町4-5 






","

050-5597-2478

","￥2,000","￥2,999","
無休
","

【月～金】11:00～15:00（L.O.14：30）              16:30~22:00（フード・ドリンクL.O.21:30）【土日祝】11:00～22:30(フードL.O.21:30、ドリンクL.O.22:00）
日曜営業
",https://tabelog.com/tokyo/A1329/A132901/13201097/,立川北駅
735,"

麻布 勇（アザブユン）
            
","
中華料理
","
東京都港区西麻布2-24-9 須藤ビル 1F






","

050-5589-3215

","￥8,000","￥9,999","
日曜日、不定休
","

17:00~22:00L.O年末年始休み【12月30日～1月4日】
",https://tabelog.com/tokyo/A1307/A130701/13271721/,乃木坂駅
736,"

銀座鉄板焼き 肉一凛宮

","
鉄板焼き、ステーキ、海鮮
","
東京都中央区銀座4-6-18 銀座アクトビル 7F






","

050-5890-3212

","￥20,000","￥29,999","
年末年始
","

ランチ　　11:30～15:00（14:00L.O）ディナー　17:30〜22:30 (21:00LO)
日曜営業
",https://tabelog.com/tokyo/A1301/A130101/13256897/,銀座駅
737,"

華味園（ハナミエン）
            
","
中華料理、餃子、居酒屋
","
東京都中央区日本橋人形町3-3-16 ホテルサイボー B1F






","

050-5590-5525

","￥2,000","￥2,999","
日曜日
","

【ランチ】11:00〜15:00 (L.o14:30)【ディナー】17:00〜23:00(L.o22:30)
",https://tabelog.com/tokyo/A1302/A130204/13279346/,人形町駅
738,"

地鶏屋ごくう　華

","
焼き鳥、居酒屋、水炊き
","
東京都港区新橋2-13-3 杉田ビル2F






","

050-5890-1664

","￥5,000","￥5,999","
不定休
","

［月曜］18:00〜23:30（L.O23:00)[火曜日～木曜日]18:00～翌2:00(L.O.翌1:00)［金曜日］18:00～翌4:00(LO翌3:00)[土曜日]17：00～23：00（ＬＯ.22:00）[日・祝]不定休　お電話にてご確認ください。　
",https://tabelog.com/tokyo/A1301/A130103/13111075/,新橋駅
739,"

REGGIANO（レッジャーノ）
            
","
イタリアン、フレンチ、ピザ
","
東京都渋谷区恵比寿1-22-19 プライムメゾン　1Ｆ






","

03-6447-7272

","￥5,000","￥5,999","
年末年始は12/31-1/3までお休みとさせて頂きます
","

[月〜金]17:00〜23:00(L.O 22:00)[土・日・祝]12:00〜23:00(L.O 22:00)
日曜営業
",https://tabelog.com/tokyo/A1303/A130302/13173015/,恵比寿駅
740,"

亀有イタリアン Zucchero

","
イタリアン、ワインバー、パスタ
","
東京都葛飾区亀有4-19-5 渡辺ビル 1F






","

050-5589-1678

","￥2,000","￥2,999","
水曜日
","

[Lunch]11:30～15:00 (L.O.14:30)[Dinner]17:00～23:00 (L.O.22:00 Food/22:30 Drink)
日曜営業
",https://tabelog.com/tokyo/A1324/A132403/13243602/,亀有駅
741,"

長崎トルコライス食堂

","
洋食、パスタ、コロッケ
","
東京都千代田区神田練塀町8-2 CHABARA 内






","

050-5596-9506

","￥1,000","￥1,999","
6月11月の第一水曜日 及び元旦 (施設に準じ臨時休業を設ける場合かございます)
","

11:00～21:00（L.Oは20：00）但し事前予約の場合23時まで営業。
日曜営業
",https://tabelog.com/tokyo/A1310/A131001/13229500/,秋葉原駅
742,"

餃子市場 大井町店

","
餃子、居酒屋、中華料理
","
東京都品川区大井1-25-3 






","

050-5457-2516

","￥2,000","￥2,999","
無休
","

 ［月～金］11:00～15:0017:00～23:30［土・日・祝］11:00～22:30
日曜営業
",https://tabelog.com/tokyo/A1315/A131501/13249719/,大井町駅
743,"

個室居酒屋 越後酒房 八海山 八重洲店

","
居酒屋、海鮮、日本料理
","
東京都中央区八重洲1-4-10 東京建物八重洲仲通りビル 6F






","

050-5868-7247

","￥4,000","￥4,999","
日曜日
","

月、火16:00～23:00水〜土16:00～23:30
",https://tabelog.com/tokyo/A1302/A130202/13251078/,日本橋駅
744,"

ももたろう 中目黒店

","
焼き鳥、串焼き、居酒屋
","
東京都目黒区上目黒3-3-12 ペニービル　B1Ｆ






","

03-6303-2288

","￥3,000","￥3,999","
なし
","

17:00～翌6:00(L.O.5:00)
日曜営業
",https://tabelog.com/tokyo/A1317/A131701/13175202/,中目黒駅
745,"

ての字 大手町店（てのじ）
            
","
うなぎ
","
東京都千代田区大手町1-6-1 大手町ビル B2F






","

050-5589-9476

","￥2,000","￥2,999","
土曜・日曜・祝日
","

月～金【昼】11:00～14:30【夜】17:00～21:30(LO21:00)
",https://tabelog.com/tokyo/A1302/A130201/13011015/,大手町駅
746,"

地球飯店 池袋店（チキュウハンテン）
            
","
中華料理、ビュッフェ、居酒屋
","
東京都豊島区西池袋1-22-8 三笠ビル　３Ｆ






","

050-5456-5894

","￥3,000","￥3,999","
毎週火曜日
","

［月曜〜日曜］ランチ    11:30～15:00 （L.O.14:30）ディナー 17:00～23:00 （L.O. 22:30）※日曜・祝日はランチメニューはございません。
日曜営業
",https://tabelog.com/tokyo/A1305/A130501/13017002/,池袋駅
747,"

江戸もんjya（エドモンジャ）
            
","
もんじゃ焼き、お好み焼き、鉄板焼き
","
東京都中央区日本橋人形町1-19-3 昭和ワニスビル 2F






","

050-5593-6113

","￥2,000","￥2,999","
月曜、火曜((祭日の場合は営業)
","

16:30～23:00(料理L.O22:30、ドリンク22:30
日曜営業
",https://tabelog.com/tokyo/A1302/A130204/13173978/,人形町駅
748,"

鶏宴 新宿東口店

","
居酒屋、焼き鳥、海鮮
","
東京都新宿区歌舞伎町1-6-3 東海苑ビル　5F






","

050-5457-2235

","￥3,000","￥3,999","
年中無休
","

月～木、日、祝日16:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）金、土、祝前日16:00～翌2:00
日曜営業
",https://tabelog.com/tokyo/A1304/A130401/13229636/,新宿西口駅
749,"

小林酒場

","
居酒屋、もつ鍋、海鮮
","
東京都豊島区巣鴨2-1-5 ボクサール巣鴨 B1F






","

050-5457-9047

","￥2,000","￥2,999","
年中無休
","

［月～金］15:00～24:00［土・日・祝］15:00～24:00
日曜営業
",https://tabelog.com/tokyo/A1323/A132301/13220353/,巣鴨駅
750,"

新潟魚沼ごっつぉ処　藤助（トオスケ）
            
","
居酒屋、郷土料理、日本酒バー
","
東京都豊島区西池袋1-19-3 キクエイビル 3F






","

050-5457-8403

","￥4,000","￥4,999","
日曜日、祝日
","

17:00～23:00(L.O.22:30、23時以降は事前深夜予約のお客様のみご案内させていただきます。最終入店21:30)
",https://tabelog.com/tokyo/A1305/A130501/13184192/,池袋駅
751,"

ビヤホール 銀座ライオン 新橋店

","
ビアホール、ビアバー、ステーキ
","
東京都港区新橋1-15-5 ペルサ 2・3F






","

050-5590-8772

","￥3,000","￥3,999","
年末年始（12/31・1/1・1/2）
","

  月～木　11：30～22：00（料理L.O21：15、ドリンクL.O21：30）　　　　　金　11：30～22：30（料理L.O21：45、ドリンクL.O22：00）　　　　 日・祝11：30～21：00（料理L.O20：15、ドリンクL.O20：30）
日曜営業
",https://tabelog.com/tokyo/A1301/A130103/13035954/,新橋駅
752,"

大衆洋酒場 直結ハイボール トーキョーニックス 府中店

","
肉バル
","
東京都府中市宮西町1-3-3 Bビル 5F






","

050-5589-2354

","￥3,000","￥3,999","
年中無休　※諸般の事情により、","

17:00～23:30（L.O.22:30、ドリンクL.O.23:00）※諸般の事情により、を変更させていただく事がございます。詳細はお電話にてお問合せくださいませ。※公式ホームページにも、分かりやすくお得な情報が満載です!!以下の『お店のホームページ』からお越しください♪
日曜営業
",https://tabelog.com/tokyo/A1326/A132602/13271816/,府中駅
753,"

鮨 やま田

","
寿司、日本料理、海鮮
","
東京都港区西麻布4-2-6  L1stビル B1






","

050-5890-3928

","￥20,000","￥29,999","
毎週日曜、月曜にお休みを頂戴しています
","

【一部】18:00～20:00 (LO19:30)【二部】20:30～22:30 (LO22:00)
",https://tabelog.com/tokyo/A1307/A130703/13254557/,広尾駅
754,"

吉祥寺 ばぁど家

","
焼き鳥、居酒屋、鍋
","
東京都武蔵野市吉祥寺本町2-8-4 コスモス吉祥寺 B1F






","

050-5597-5137

","￥4,000","￥4,999","
無休 『年末年始休み』♦ネット予約ができない場合も、お電話にてご予約を承れる場合がございます。♦写真より全体で２０席減らしています【写真コロナ前】♦２０名様までの貸し切りお座敷はネット予約に乗せていません。８名様からご利用承ります
","

【毎日１５:００～２４:００】・ドリンク・フード⇒『L.O.２３:１５』　「ラストオーダーに間に合えば、　　ぎりぎりでも是非お越し下さい」・ドリンク⇒ハッピーアワー　　　　　　『平日の１５時〜１８時』　「このお時間狙って来られる方も　　　　　　　　　いらっしゃいます」
日曜営業
",https://tabelog.com/tokyo/A1320/A132001/13235248/,吉祥寺駅
755,"

CAFE & BAL CoCo（カフェアンドバル ココ）
            
","
居酒屋、カフェ
","
東京都台東区上野6-16-5 正三ビル 1F






","

050-5571-0778

","￥2,000","￥2,999","
月曜日（祝日月曜は営業、翌日火曜休み）
","

[火～金]11:30～15:30(L.O.15:00)17:30～23:00(L.O 22:00)[土・日・祝]11:30～23:00(L.O 22:00)
日曜営業
",https://tabelog.com/tokyo/A1311/A131101/13264159/,京成上野駅
756,"

韓国家庭料理ジャンモ 聖蹟桜ヶ丘店

","
韓国料理、焼肉、居酒屋
","
東京都多摩市関戸1-7-5 京王聖蹟桜ヶ丘ショッピングセンター C館 2F






","

050-5590-4667

","￥2,000","￥2,999","
無休　/　施設に準ずる
","

[全日]11:00〜22:00
日曜営業
",https://tabelog.com/tokyo/A1327/A132702/13278751/,聖蹟桜ケ丘駅
757,"

月島もんじゃ こぼれや 本店

","
もんじゃ焼き、お好み焼き、鉄板焼き
","
東京都中央区月島3-16-9 






","

050-5592-8805

","￥3,000","￥3,999","
不定休
","

[月～金・祝前日]17:00～23:00（L.O.22:00、ドリンクL.O.22:30）[土]11:00～23:00（L.O.22:00、ドリンクL.O.22:30）[日・祝日]11:00～22:00（L.O.21:00、ドリンクL.O.21:30）
日曜営業
",https://tabelog.com/tokyo/A1313/A131302/13189642/,勝どき駅
758,"

炭火串焼き こうめさん

","
焼き鳥、居酒屋、もつ鍋
","
東京都品川区東五反田1-16-10 光美ビル 1F






","

050-5457-0975

","￥4,000","￥4,999","
なし
","

（月.火.水.木.土.日）17:00〜24:00（金）17:00〜3:00
日曜営業
",https://tabelog.com/tokyo/A1316/A131603/13250277/,五反田駅
759,"

やさいと、

","
日本料理、しゃぶしゃぶ、居酒屋
","
東京都中野区中央2-2-35 B1F






","

050-5570-8818

","￥6,000","￥7,999","
日曜日・その他不定休あり
","

17:00～23:00（フード・ドリンク/lo.22:00）※当面の間、ランチ営業はお休みさせて頂きます。※毎月のお休みは店頭に掲示していますがお問い合わせ頂いたほうが確実です。
",https://tabelog.com/tokyo/A1319/A131903/13263915/,中野坂上駅
760,"

ご当地酒場 北海道八雲町 浜松町店

","
海鮮、居酒屋、日本酒バー
","
東京都港区芝大門2-4-3 2F






","

050-5595-8661

","￥4,000","￥4,999","
日曜日 祝日
","

[月～金]11:30～14:00（L.O.13:30）17:00～23:30（L.O.22:45） [土]17:00～23:00（L.O.22:15)
",https://tabelog.com/tokyo/A1314/A131401/13114132/,大門駅
